"status","url","link text","redirect","On page"
"404 not found < 301 moved permanently","https://lin.ee/7gygNh1","https://","https://line.me/R/ti/p/@435sryya?ts=02042252&oat_content=url","https://www.story-tokyo.com/event/"
"404 not found < 301 moved permanently","https://lin.ee/mVFiTrD","","https://line.me/R/ti/p/@476oddcr?oat_content=url&ts=02022052","https://www.story-tokyo.com/therapist/"
"404 not found < 301 moved permanently","https://lin.ee/7gygNh1","https://","https://line.me/R/ti/p/@435sryya?ts=02042252&oat_content=url","https://www.story-tokyo.com/event/event49/"
"unsupported URL","tg://emoji?id=5413567996117408386&t=0","🎤","","https://www.story-tokyo.com/prof/prof15/"
"404 not found","https://birdfile.jp/RrVfjbbT99aAzW7/file","[alt]: ","","https://www.story-tokyo.com/prof/prof24/"
"404 not found < 301 moved permanently","https://lin.ee/mVFiTrD","","https://line.me/R/ti/p/@476oddcr?oat_content=url&ts=02022052","https://www.story-tokyo.com/prof/prof37/"
"404 not found < 301 moved permanently","https://twitter.com/story21087","","https://x.com/story21087","https://www.story-tokyo.com/prof/prof37/"
"404 not found < 301 moved permanently","https://twitter.com/siki_story?s=21","","https://x.com/siki_story?s=21","https://www.story-tokyo.com/prof/prof41/"
"404 not found < 301 moved permanently","https://twitter.com/masato_story?s=11","","https://x.com/masato_story?s=11","https://www.story-tokyo.com/prof/prof44/"
"404 not found","https://kaikan.co/tokyo/829/26079/diary/","","","https://www.story-tokyo.com/prof/prof28/"
"404 not found < 301 moved permanently","https://twitter.com/eito_Story","","https://x.com/eito_Story","https://www.story-tokyo.com/prof/prof6/"
