"Title","URL","h1 headings","h1 count","h2 headings","h3 headings","h4 headings"
"女風｜東京で初めてでも選ばれているStory東京本店","https://www.story-tokyo.com/","初めてでも安心して選べる、東京の女風 Story東京本店","","全国女性用風俗「Story(ストーリー)」","",""
"女風｜東京で初めてでも選ばれているStory東京本店","https://www.story-tokyo.com/top/","初めてでも安心して選べる、東京の女風 Story東京本店","","トップページ, 全国女性用風俗「Story(ストーリー)」","CAMPAIGNキャンペーン情報, TOPICSトピックス, TODAY'S SCHEDULE本日の出勤, DIARY写メ日記, RANKINGランキング","ポイントランキング, リピートランキング, 兼業ランキング, 新人ランキング"
"初めての方へ 女風｜東京で初めてでも選ばれているStory東京本店","https://www.story-tokyo.com/first/","初めてでも安心して選べる、東京の女風 Story東京本店","","FIRST TIME初めての方へ, 全国女性用風俗「Story(ストーリー)」","自分を主人公にした物語を紡ぐ場所, Storyの３つの特徴, こんな女性の方におすすめです","１.ともに創りあげる体験, ２.多様なサービスプラン, ３.女性用風俗初心者でもおすすめ"
"【女性用風俗】の相場を内勤が解説 女風｜東京で初めてでも選ばれているStory東京本店","https://www.story-tokyo.com/guide/","初めてでも安心して選べる、東京の女風 Story東京本店","","HOW IT WORKS【女性用風俗】の相場を内勤が解説, 全国女性用風俗「Story(ストーリー)」","この記事でわかること, 今回お話するのは…, list目次, 1女性用風俗とは？東京で利用されるサービスの基本, 2東京の女性用風俗の料金相場と総額目安, 3女性用風俗を東京で利用する流れ, 4東京で利用しやすいエリアと場所の選び方, 5初めての女性用風俗で多い不安と禁止事項, 6内勤が見た、初回利用で失敗しやすいポイント, 7東京で女性用風俗店を選ぶときのチェックポイント, 8よくある質問 Q&A, 9まとめ","Storyの内勤スタッフ, check_circle女性用風俗のサービス内容, check_circleホスト・レンタル彼氏・マッサージとの違い, check_circle東京では出張型サービスが中心, check_circle東京の女性用風俗の特徴, check_circle料金の内訳｜基本料金・指名料・交通費・ホテル代, check_circle90分・120分の総額シミュレーション, check_circle追加料金・延長料金で確認すべきこと, check_circle予約前に確認すること, check_circle待ち合わせからサービスまでの流れ, check_circle支払い・退室後の流れ, check_circleホテルと自宅の違い, check_circle初めて利用する人におすすめの場所, check_circle本番行為はできる？禁止事項と安全性, check_circle体型・年齢・既婚でも利用できる？, check_circle誰にも知られたくない人の身バレ対策, check_circle性病の心配は？ プロとしての徹底した「衛生管理」, check_circle会話・キャンセル・遅刻が不安な場合, check_circle失敗① 料金総額を確認しない, check_circle失敗② 写真だけでセラピストを選ぶ, check_circle失敗③ 不安を相談せずに当日を迎える, check_circle料金・規約・禁止事項が明記されているか, check_circle顔写真を加工しすぎていないか, check_circleSNSの更新頻度が自然か, check_circle受付対応が丁寧か, check_circle初心者が相談しやすいお店か, check_circleセラピスト情報や口コミだけに頼りすぎない, 東京の女性用風俗は初めてでも安全に利用できますか？, 女性用風俗で本番行為はできますか？, 東京で利用する場合、ホテル代は別ですか？, 自宅に呼ぶことはできますか？, 既婚者でも利用できますか？, セラピストはどう選べばいいですか？, 予約前に相談だけしてもいいですか？"
"予約方法 女風｜東京で初めてでも選ばれているStory東京本店","https://www.story-tokyo.com/book/","初めてでも安心して選べる、東京の女風 Story東京本店","","HOW TO BOOK予約方法, 全国女性用風俗「Story(ストーリー)」","予約方法のご案内BOOKING GUIDE, お店受付STORE RECEPTION, セラピスト受付THERAPIST RECEPTION, よくあるご質問FAQ","play_circle_filledLINE予約, play_circle_filled電話予約, play_circle_filledWEB予約, 予約方法, 初めてでも大丈夫ですか？, どの予約方法が一番いいですか？, セラピストに直接連絡してもいいですか？"
"キャンペーン 女風｜東京で初めてでも選ばれているStory東京本店","https://www.story-tokyo.com/event/","初めてでも安心して選べる、東京の女風 Story東京本店","","CAMPAIGNキャンペーン, 全国女性用風俗「Story(ストーリー)」","【9月】キャンペーン一覧, 【8月】キャンペーン一覧, 👑Storyデビューキャンペーン👑, 🔰代表が初めてをサポート🔰",""
"料金システム 女風｜東京で初めてでも選ばれているStory東京本店","https://www.story-tokyo.com/system/","初めてでも安心して選べる、東京の女風 Story東京本店","","SYSTEM料金システム, 全国女性用風俗「Story(ストーリー)」","基本プレイ(施術の流れ)BASIC PLAY, 通常料金REGULAR FEE, 裏Storyコース※性感特化（マッサージ無し）SECRET STORY COURSE, デートコースCOUPLE COURSE, カップルコースCOUPLE COURSE, 指名料NOMINATION FEE, 交通費TRANSPORTATION, 出張BUSINESS TRIP, 深夜料金LATE NIGHT CHARGE, オプションOPTION, 各種割引VARIOUS DISCOUNTS, キャンセルCANCEL, お支払方法PAYMENT METHOD, 当店ご利用のお客様への注意事項PRECAUTIONS","▼6項目詳細, 規約"
"WEB予約 女風｜東京で初めてでも選ばれているStory東京本店","https://www.story-tokyo.com/reserve/","初めてでも安心して選べる、東京の女風 Story東京本店","","RESERVATIONWEB予約, 全国女性用風俗「Story(ストーリー)」","ご予約の流れRESERVATION PROCESS, WEB予約フォームRESERVATION FORM","WEBフォーム送信, お店より確認のご連絡, ご予約確定, 当日ご案内, play_circle_filled当店を知ったきっかけ必須, play_circle_filledセラピストとの日程調整必須, play_circle_filledご利用日必須, play_circle_filled開始時間必須, play_circle_filledお名前(ひらがな)必須, play_circle_filled携帯電話番号必須, play_circle_filledメールアドレス必須, play_circle_filled新規or会員(2回目)必須, play_circle_filled初指名or本指名orフリー必須, play_circle_filledセラピスト必須, play_circle_filledご利用エリア(最寄駅)必須, play_circle_filled合流方法必須, play_circle_filled詳細な場所, play_circle_filledご希望のコース必須, play_circle_filledオプション, play_circle_filledお支払方法必須, play_circle_filledキャンペーン, play_circle_filled備考"
"料金シミュレーション 女風｜東京で初めてでも選ばれているStory東京本店","https://www.story-tokyo.com/simu/","初めてでも安心して選べる、東京の女風 Story東京本店","","SIMULATION料金シミュレーション, 合計: 0 円, 全国女性用風俗「Story(ストーリー)」","利用日時, コース構成, 指名タイプ, 交通費, オプション, 通常コース, 裏Storyコース, デートコース, カップルコース, 指名有無, ご利用エリア, 深夜利用（0時〜5時）, オプション",""
"セラピスト一覧 女風｜東京で初めてでも選ばれているStory東京本店","https://www.story-tokyo.com/therapist/","初めてでも安心して選べる、東京の女風 Story東京本店","","THERAPISTセラピスト一覧, 全国女性用風俗「Story(ストーリー)」","新人セラピスト",""
