"status","url","redir","On page"
"200 no error","https://urakare.jp/","","starting url"
"200 no error","https://urakare.jp/og-urakare-2026.jpg","","appears 120 times"
"200 no error","https://line-harness.otudesumyiphone4s-3d3.workers.dev/r/hp-top","","appears 35 times"
"200 no error","https://urakare.jp/today","","appears 107 times"
"200 no error","https://urakare.jp/column","","appears 1973 times"
"200 no error","https://urakare.jp/ranking?range=month","","appears 105 times"
"200 no error","https://urakare.jp/therapist","","appears 408 times"
"200 no error","https://urakare.jp/sokumen","","appears 106 times"
"200 no error","https://urakare.jp/search","","appears 105 times"
"200 no error","https://urakare.jp/guide","","appears 1287 times"
"200 no error","https://urakare.jp/reviews","","appears 123 times"
"200 no error","https://urakare.jp/pricing","","appears 147 times"
"200 no error","https://urakare.jp/location-guide","","appears 156 times"
"200 no error","https://urakare.jp/faq","","appears 153 times"
"200 no error","https://urakare.jp/recruit","","appears 328 times"
"200 no error","https://urakare.jp/_next/image?url=/logo-hero.png&w=3840&q=75&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 14 times"
"200 no error","https://urakare.jp/_next/image?url=/monitor/jofu-monitor-banner-top-v3.webp&w=640&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/monitor/jofu-monitor-banner-top-v3.webp&w=750&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/monitor/jofu-monitor-banner-top-v3.webp&w=828&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/monitor/jofu-monitor-banner-top-v3.webp&w=1080&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/monitor/jofu-monitor-banner-top-v3.webp&w=1200&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/monitor/jofu-monitor-banner-top-v3.webp&w=1920&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/monitor/jofu-monitor-banner-top-v3.webp&w=2048&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/monitor/jofu-monitor-banner-top-v3.webp&w=3840&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 14 times"
"200 no error","https://urakare.jp/monitor","","appears 553 times"
"200 no error","https://urakare.jp/_next/image?url=/recruit-banners/banner-v9.webp&w=640&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 97 times"
"200 no error","https://urakare.jp/_next/image?url=/recruit-banners/banner-v9.webp&w=750&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 97 times"
"200 no error","https://urakare.jp/_next/image?url=/recruit-banners/banner-v9.webp&w=828&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 97 times"
"200 no error","https://urakare.jp/_next/image?url=/recruit-banners/banner-v9.webp&w=1080&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 97 times"
"200 no error","https://urakare.jp/_next/image?url=/recruit-banners/banner-v9.webp&w=1200&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 97 times"
"200 no error","https://urakare.jp/_next/image?url=/recruit-banners/banner-v9.webp&w=1920&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 104 times"
"200 no error","https://urakare.jp/_next/image?url=/recruit-banners/banner-v9.webp&w=2048&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 97 times"
"200 no error","https://urakare.jp/_next/image?url=/recruit-banners/banner-v9.webp&w=3840&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 208 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-referral-v2.webp&w=640&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-referral-v2.webp&w=750&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-referral-v2.webp&w=828&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-referral-v2.webp&w=1080&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-referral-v2.webp&w=1200&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 35 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-referral-v2.webp&w=1920&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-referral-v2.webp&w=2048&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-referral-v2.webp&w=3840&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 70 times"
"200 no error","https://urakare.jp/referral","","appears 107 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-guide.jpg&w=640&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-guide.jpg&w=750&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-guide.jpg&w=828&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-guide.jpg&w=1080&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-guide.jpg&w=1200&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 14 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-guide.jpg&w=1920&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-guide.jpg&w=2048&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=/banner-guide.jpg&w=3840&q=85&dpl=dpl_7WTW9QoqRCZeqgUAy1hmqp4Xg7s6","","appears 28 times"
"200 no error","https://urakare.jp/#ranking","","appears 7 times"
"200 no error","https://urakare.jp/#cast","","appears 7 times"
"200 no error","https://urakare.jp/#course","","appears 7 times"
"200 no error","https://urakare.jp/#about","","appears 7 times"
"200 no error","https://urakare.jp/#area","","appears 7 times"
"200 no error","https://urakare.jp/#contact","","appears 7 times"
"200 no error","https://urakare.jp/therapist/4","","appears 73 times"
"200 no error","https://urakare.jp/therapist/1","","appears 298 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-01/hero.webp&w=640&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-01/hero.webp&w=750&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-01/hero.webp&w=828&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-01/hero.webp&w=1080&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-01/hero.webp&w=1200&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-01/hero.webp&w=1920&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-01/hero.webp&w=2048&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-01/hero.webp&w=3840&q=85","","appears 14 times"
"200 no error","https://urakare.jp/column/interview/customer-interview-01","","appears 515 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-03/hero.webp&w=640&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-03/hero.webp&w=750&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-03/hero.webp&w=828&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-03/hero.webp&w=1080&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-03/hero.webp&w=1200&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-03/hero.webp&w=1920&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-03/hero.webp&w=2048&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-03/hero.webp&w=3840&q=85","","appears 14 times"
"200 no error","https://urakare.jp/column/interview/customer-interview-03","","appears 206 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-02/hero.webp&w=640&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-02/hero.webp&w=750&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-02/hero.webp&w=828&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-02/hero.webp&w=1080&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-02/hero.webp&w=1200&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-02/hero.webp&w=1920&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-02/hero.webp&w=2048&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-02/hero.webp&w=3840&q=85","","appears 14 times"
"200 no error","https://urakare.jp/column/interview/customer-interview-02","","appears 93 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-04/hero.webp&w=640&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-04/hero.webp&w=750&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-04/hero.webp&w=828&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-04/hero.webp&w=1080&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-04/hero.webp&w=1200&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-04/hero.webp&w=1920&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-04/hero.webp&w=2048&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-04/hero.webp&w=3840&q=85","","appears 14 times"
"200 no error","https://urakare.jp/column/interview/customer-interview-04","","appears 255 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/hajimete-guide/hero.webp&w=640&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/hajimete-guide/hero.webp&w=750&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/hajimete-guide/hero.webp&w=828&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/hajimete-guide/hero.webp&w=1080&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/hajimete-guide/hero.webp&w=1200&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/hajimete-guide/hero.webp&w=1920&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/hajimete-guide/hero.webp&w=2048&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/hajimete-guide/hero.webp&w=3840&q=85","","appears 14 times"
"200 no error","https://urakare.jp/column/jofu-guide/hajimete-guide","","appears 960 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-shop-guide/hero.jpg&w=640&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-shop-guide/hero.jpg&w=750&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-shop-guide/hero.jpg&w=828&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-shop-guide/hero.jpg&w=1080&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-shop-guide/hero.jpg&w=1200&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-shop-guide/hero.jpg&w=1920&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-shop-guide/hero.jpg&w=2048&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-shop-guide/hero.jpg&w=3840&q=85","","appears 14 times"
"200 no error","https://urakare.jp/column/jofu-guide/jofu-shop-guide","","appears 236 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/partner-jofu/hero.webp&w=640&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/partner-jofu/hero.webp&w=750&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/partner-jofu/hero.webp&w=828&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/partner-jofu/hero.webp&w=1080&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/partner-jofu/hero.webp&w=1200&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/partner-jofu/hero.webp&w=1920&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/partner-jofu/hero.webp&w=2048&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/partner-jofu/hero.webp&w=3840&q=85","","appears 14 times"
"200 no error","https://urakare.jp/column/jofu-guide/partner-jofu","","appears 469 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-drama-reality/hero.jpg&w=640&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-drama-reality/hero.jpg&w=750&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-drama-reality/hero.jpg&w=828&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-drama-reality/hero.jpg&w=1080&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-drama-reality/hero.jpg&w=1200&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-drama-reality/hero.jpg&w=1920&q=85","","appears 7 times"
"200 no error","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/jofu-drama-reality/hero.jpg&w=2048&q=85","","appears 7 times"
