"status","url","link text","redirect","On page"
"The request timed out.","https://www.durex.com/cm/gss2005result.pdf","毎回オーガズムに達する女性はわずか11%で、26カ国中25位","","https://urakare.jp/column/self-pleasure/nakaiki-guide"
"The request timed out.","https://www.durex.com/cm/gss2005result.pdf","Durex Global Sex Survey 2005 Results.","","https://urakare.jp/column/self-pleasure/nakaiki-guide"
"A TLS error caused the secure connection to fail.","https://www.u-tokyo.ac.jp/focus/en/press/z0508_00035.html","東京大学が2019年に発表した研究","","https://urakare.jp/column/jofu-guide/virgin-jofu"
"A TLS error caused the secure connection to fail.","https://www.u-tokyo.ac.jp/focus/en/press/z0508_00035.html","東京大学","","https://urakare.jp/column/jofu-guide/virgin-jofu"
"404 not found","https://www.simonandschuster.com/books/Come-As-You-Are/Emily-Nagoski/9781476762098","Emily Nagoski 'Come As You Are'","","https://urakare.jp/column/jofu-guide/jofu-30dai-guide"
"404 not found","https://www.simonandschuster.com/books/Come-As-You-Are/Emily-Nagoski/9781476762098","Simon & Schuster","","https://urakare.jp/column/jofu-guide/jofu-30dai-guide"
"404 not found","https://doi.org/10.1177/1088868320891164","Endendijk et al., 2020","","https://urakare.jp/column/jofu-guide/jofu-misconceptions"
"404 not found","https://banrjournal.org/index.php/banrj/article/view/53","学生を対象にした研究","","https://urakare.jp/column/night-care/self-esteem-embrace"
"404 not found","https://banrjournal.org/index.php/banrj/article/view/53","Caturini, E. et al. “The effectiveness of butterfly hug in reducing anxiety.” Basic and Applied Nursing Research Journal, 2023.","","https://urakare.jp/column/night-care/self-esteem-embrace"
"400 bad request","https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-05/og-image.webp","[meta tag: property=og:image]","","https://urakare.jp/column/interview/customer-interview-05"
"400 bad request","https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-05/og-image.webp","[meta tag: name=twitter:image]","","https://urakare.jp/column/interview/customer-interview-05"
"400 bad request","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-05/hero.webp&w=640&q=75","[alt]: 女風セラピストに恋した、どうする？｜女性用風俗（女風）3年半・85回通った20代女性アンちゃんのガチ恋→友人体験談レポ・新宿歌舞伎町ゴールデン街水彩イラスト・東京裏彼氏（ウラカレ）","","https://urakare.jp/column/interview/customer-interview-05"
"400 bad request","https://urakare.jp/_next/image?url=https://kemvfhztndsfrqqecfkf.supabase.co/storage/v1/object/public/column-images/customer-interview-05/hero.webp&w=750&q=75","[alt]: 女風セラピストに恋した、どうする？｜女性用風俗（女風）3年半・85回通った20代女性アンちゃんのガチ恋→友人体験談レポ・新宿歌舞伎町ゴールデン街水彩イラスト・東京裏彼氏（ウラカレ）","","https://urakare.jp/column/interview/customer-interview-05"
