"Title","URL","Description","og:latitude","og:longitude","og:locality","og:title","og:description","og:url","og:image","og:type","og:site_name","twitter:url","twitter:description","twitter:image","twitter:title","twitter:card","itemprop name","itemprop description","itemprop image","Title length","Description length"
"東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/","東京の女風（女性用風俗）なら東京裏彼氏（裏カレ）。全国No.1セラピスト・ほまれが監修する研修を修了したイケメンセラピストが、ご自宅・ホテルへ出張。女風が初めてのお客様も安心のLINE24時間受付。23区全域＋近郊まで対応。","","","","東京の女風・女性用風俗なら【東京裏彼氏】","東京の女風（女性用風俗）なら東京裏彼氏（裏カレ）。全国No.1セラピスト・ほまれが監修する研修を修了したイケメンセラピストが、ご自宅・ホテルへ出張。女風が初めてのお客様も安心のLINE24時間受付。23区全域＋近郊まで対応。","https://urakare.jp","","website","","","東京の女風（女性用風俗）なら東京裏彼氏（裏カレ）。全国No.1セラピスト・ほまれが監修する研修を修了したイケメンセラピストが、ご自宅・ホテルへ出張。女風が初めてのお客様も安心のLINE24時間受付。23区全域＋近郊まで対応。","https://urakare.jp/og-urakare-2026.jpg","東京の女風・女性用風俗なら【東京裏彼氏】","summary_large_image","","","","20","112"
"プレジャーケア — 女性のセクシャルウェルネスとセルフケアのメディア｜ウラカレコラム | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/column","プレジャーケアは、女性が自分を喜ばせる新しいケアの形。セクシャルウェルネスやセルフケアの実践を、2,000人の女性に向き合った現場プロの視点から、タブーなく品よくお届けします。ウラカレコラム。","","","","プレジャーケアのメディア｜ウラカレコラム","プレジャーケアは、女性が自分を喜ばせる新しいケアの形。セクシャルウェルネス・セルフプレジャー・セルフケアのリアルを、現場プロ×男目線でお届けする編集メディア。","","https://urakare.jp/brand/logo-og-1200x630.png","","","","プレジャーケアは、女性が自分を喜ばせる新しいケアの形。セクシャルウェルネス・セルフプレジャー・セルフケアのリアルを、現場プロ×男目線でお届けする編集メディア。","https://urakare.jp/brand/logo-og-1200x630.png","プレジャーケアのメディア｜ウラカレコラム","summary_large_image","","","","65","96"
"本日出勤のセラピスト｜東京の女風 | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/today","東京裏彼氏の本日出勤中のセラピスト一覧です。出勤時間・プロフィールをご確認いただけます。","","","","本日出勤のセラピスト｜東京の女風","本日出勤中のセラピスト一覧。出勤時間・プロフィールをチェック。","","","","","","本日出勤中のセラピスト一覧。出勤時間・プロフィールをチェック。","https://urakare.jp/og-urakare-2026.jpg","本日出勤のセラピスト｜東京の女風","summary_large_image","","","","39","44"
"東京の女風セラピスト人気ランキング｜東京裏彼氏","https://urakare.jp/ranking?range=month","東京の女風（女性用風俗）「東京裏彼氏（裏カレ）」の人気セラピストランキング。指名ポイント・口コミにもとづく最新の順位をデイリー・ウィークリー・マンスリーで確認できます。","","","","東京の女風セラピスト人気ランキング | 東京裏彼氏","指名ポイント・口コミにもとづく最新の女風セラピストランキング。","https://urakare.jp/ranking","https://urakare.jp/og-urakare-2026.jpg","website","","","指名ポイント・口コミにもとづく最新の女風セラピストランキング。","https://urakare.jp/og-urakare-2026.jpg","東京の女風セラピスト人気ランキング | 東京裏彼氏","summary_large_image","","","","23","84"
"こだわり検索 | 東京裏彼氏 | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/search","年齢・身長・イメージであなたにぴったりのセラピストを検索。","","","","女風・女性用風俗なら東京裏彼氏｜東京の出張マッサージ","全国No.1セラピスト・ほまれ監修。イケメンセラピストがご自宅・ホテルへ出張。女風が初めての方も安心のLINE24時間受付。","","https://urakare.jp/og-urakare-2026.jpg","","","","全国No.1セラピスト・ほまれ監修。イケメンセラピストがご自宅・ホテルへ出張。女風が初めての方も安心のLINE24時間受付。","https://urakare.jp/og-urakare-2026.jpg","女風・女性用風俗なら東京裏彼氏｜東京の出張マッサージ","summary_large_image","","","","37","29"
"東京の女風（女性用風俗）セラピスト一覧｜東京裏彼氏","https://urakare.jp/therapist","東京裏彼氏（裏カレ）に在籍する女風（女性用風俗）セラピストの一覧。年齢・身長・タイプ・口コミからお好みのセラピストを選んで指名できます。ご自宅・ホテルへ出張、東京23区＋近郊に対応。","","","","東京の女風セラピスト一覧｜東京裏彼氏","東京裏彼氏（裏カレ）在籍の女風セラピスト一覧。年齢・タイプ・口コミから選んで指名できます。","https://urakare.jp/therapist","","website","","","東京裏彼氏（裏カレ）在籍の女風セラピスト一覧。年齢・タイプ・口コミから選んで指名できます。","https://urakare.jp/og-urakare-2026.jpg","東京の女風セラピスト一覧｜東京裏彼氏","summary_large_image","","","","25","91"
"東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/sokumen","東京の女風（女性用風俗）なら東京裏彼氏（裏カレ）。全国No.1セラピスト・ほまれが監修する研修を修了したイケメンセラピストが、ご自宅・ホテルへ出張。女風が初めてのお客様も安心のLINE24時間受付。23区全域＋近郊まで対応。","","","","女風・女性用風俗なら東京裏彼氏｜東京の出張マッサージ","全国No.1セラピスト・ほまれ監修。イケメンセラピストがご自宅・ホテルへ出張。女風が初めての方も安心のLINE24時間受付。","","https://urakare.jp/og-urakare-2026.jpg","","","","全国No.1セラピスト・ほまれ監修。イケメンセラピストがご自宅・ホテルへ出張。女風が初めての方も安心のLINE24時間受付。","https://urakare.jp/og-urakare-2026.jpg","女風・女性用風俗なら東京裏彼氏｜東京の出張マッサージ","summary_large_image","","","","20","112"
"初めての方へ｜女風の流れ・料金ガイド | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/guide","女性用風俗が初めてで不安な方へ。料金の総額目安（約3万円〜）、予約から施術までの流れ、セラピストの選び方を分かりやすく解説。完全出張制・秘密厳守・女性限定。LINE相談だけでもOK。","","","","初めての方へ｜女風の流れ・料金ガイド","女性用風俗が初めてで不安な方へ。料金の総額目安（約3万円〜）、予約から施術までの流れ、セラピストの選び方を分かりやすく解説。完全出張制・秘密厳守・女性限定。LINE相談だけでもOK。","https://urakare.jp/guide","","website","","","女性用風俗が初めてで不安な方へ。料金の総額目安（約3万円〜）、予約から施術までの流れ、セラピストの選び方を分かりやすく解説。完全出張制・秘密厳守・女性限定。LINE相談だけでもOK。","https://urakare.jp/og-urakare-2026.jpg","初めての方へ｜女風の流れ・料金ガイド","summary_large_image","","","","41","91"
"女風の利用場所ガイド｜ホテル・自宅の選び方 | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/location-guide","東京裏彼氏の利用場所ガイド。新宿・渋谷・池袋・錦糸町・恵比寿・六本木・麻布十番エリアのおすすめラブホテル一覧と、ご自宅利用のご案内。女性一人でも安心のホテル選び・チェックイン方法まで丁寧に解説。","","","","利用場所ガイド｜おすすめラブホテル＆ご自宅利用｜東京裏彼氏","新宿・渋谷・池袋・錦糸町・恵比寿・六本木・麻布十番のおすすめラブホテルと、ご自宅利用のご案内。女性一人でも安心のホテル選びガイド。","https://urakare.jp/location-guide","https://urakare.jp/og-urakare-2026.jpg","article","","","エリア別おすすめラブホテル＆ご自宅利用ガイド。女性一人でも安心。","https://urakare.jp/og-urakare-2026.jpg","利用場所ガイド｜東京裏彼氏","summary_large_image","","","","44","97"
"料金・コース一覧｜女風の料金表 | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/pricing","女性用風俗・女風「東京裏彼氏」の料金・コース一覧。スタンダード90分¥16,000〜、お泊まり¥65,000〜。全セラピスト指名料無料・追加料金なし。コース料金+交通費のみのシンプル明朗会計。","","","","料金・コース一覧｜女風の料金表","全セラピスト指名料無料。コース料金+交通費のみのシンプル明朗会計。スタンダード90分¥16,000〜。","https://urakare.jp/pricing","","website","","","全セラピスト指名料無料。コース料金+交通費のみのシンプル明朗会計。スタンダード90分¥16,000〜。","https://urakare.jp/og-urakare-2026.jpg","料金・コース一覧｜女風の料金表","summary_large_image","","","","38","96"
